Strategy,TokenAddress,AlertTime,EntryTime,ExitTime,EntryPrice,PnL,PnLPercent,MaxReached,MaxGainPercent,TokenMaxDrawdownPercent,HoldDurationHours
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,FQt3RH31JCPXvVaXKc1uZACbshjYvvBfaqST4465bonk,2025-08-02T13:49:40.000Z,2025-08-04T10:00:00.000+10:00,2025-08-04T18:00:00.000+10:00,0.00000707,1.0062,0.62,1.0000,0.00,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,BKZ1bkVGAasKZzwcahL5L8t1M7ofmx7VJ5PyPfHtbonk,2025-08-02T14:14:42.000Z,2025-08-06T21:00:00.000+10:00,2025-08-07T00:00:00.000+10:00,0.00003444,0.8500,-15.00,1.1657,16.57,15.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,H3xf2oWYPP4hNFckPiXjpFj9UzMhLWapxZAorK4dbonk,2025-08-03T13:01:52.000Z,2025-08-08T02:00:00.000+10:00,2025-08-08T04:00:00.000+10:00,0.00000422,0.9908,-0.92,1.0000,0.00,0.92,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,J3u73qgyeuaeunH1uwsT6QLFa24YNeZSjSEdCjAebonk,2025-08-03T20:42:07.000Z,2025-08-05T06:00:00.000+10:00,2025-08-05T08:00:00.000+10:00,0.00168897,1.2209,22.09,1.3565,35.65,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,BWyTW2sqbyJwZWWgCcZCEEzLxqauXGeEwgoighhKbonk,2025-08-04T08:13:35.000Z,2025-08-05T15:00:00.000+10:00,2025-08-05T16:00:00.000+10:00,0.00008584,1.7623,76.23,1.9581,95.81,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,H8xQ6poBjB9DTPMDTKWzWPrnxu4bDEhybxiouF8Ppump,2025-08-04T08:13:54.000Z,2025-08-05T12:00:00.000+10:00,2025-08-05T13:00:00.000+10:00,0.02552434,0.9873,-1.27,1.0195,1.95,1.27,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,CY2k3sedfk8x3ejAYFcYp4krzoPvpxk6y8ejRywUbonk,2025-08-04T11:37:58.000Z,2025-08-07T12:00:00.000+10:00,2025-08-07T14:00:00.000+10:00,0.00011083,1.2943,29.43,1.2083,20.83,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,E4UXzztPWk4PqRk1qjeJj8V2kZe949RWnjWXT5arBAGS,2025-08-05T10:48:13.000Z,2025-08-08T01:00:00.000+10:00,2025-08-08T04:00:00.000+10:00,0.00000427,1.0355,3.55,1.0956,9.56,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,Cyq8R8jBaZtwCRR4UkjEsXmdEbQB3jmkvhoSRELGdYCy,2025-08-05T14:31:51.000Z,2025-08-06T09:00:00.000+10:00,2025-08-06T11:00:00.000+10:00,0.00001170,1.4841,48.41,1.6490,64.90,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,C8TAiQvkW5PVHwaEtyafAyEEqT8wgnAYAa8goHfKbonk,2025-08-05T14:50:49.000Z,2025-08-08T12:00:00.000+10:00,2025-08-08T22:00:00.000+10:00,0.00000828,0.9519,-4.81,1.0054,0.54,4.81,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,E2gYJLgwup3DPaqYDXKj4kfHb6n4PR2CQyrvt6a2bonk,2025-08-05T19:06:18.000Z,2025-08-08T09:00:00.000+10:00,2025-08-10T07:00:00.000+10:00,0.00000356,1.0337,3.37,1.0400,4.00,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,DQ4wBK1LoZwhahx18GuDTDCwbFZ8ZfFV3VSk3V3bBAGS,2025-08-05T22:43:23.000Z,2025-08-06T17:00:00.000+10:00,2025-08-06T19:00:00.000+10:00,0.00005452,0.9834,-1.66,1.2047,20.47,1.66,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,DqKym6x8pGN35evcEdZSYtvGwyBkhuvxAp36nN2qbonk,2025-08-06T02:33:38.000Z,2025-08-09T04:00:00.000+10:00,2025-08-09T16:00:00.000+10:00,0.00000789,1.0634,6.34,1.1864,18.64,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,48pUu784zSCHhKzrJYuWrVK8fG48pdXqFGnFmmeYpump,2025-08-06T07:10:56.000Z,2025-08-08T13:00:00.000+10:00,2025-08-08T15:00:00.000+10:00,0.00000503,0.9821,-1.79,1.0000,0.00,1.79,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,8j5AbN6wRk4Ru7bAYBL3qCtuftMijWKQFeFZz14vbonk,2025-08-06T09:25:45.000Z,2025-08-08T23:00:00.000+10:00,2025-08-09T01:00:00.000+10:00,0.00005855,0.8908,-10.92,1.1758,17.58,10.92,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,347k5f1WLRYe81roRcLBWDR6k3eCRunaqetQPW6pbonk,2025-08-06T17:29:03.000Z,2025-08-07T19:00:00.000+10:00,2025-08-07T21:00:00.000+10:00,0.00789120,1.0553,5.53,1.0739,7.39,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,7N8DAjVAavYGTGHdT2uQ2pGpPNRs9tvZTiPvVMKSpump,2025-08-06T17:50:38.000Z,2025-08-09T06:00:00.000+10:00,2025-08-09T22:00:00.000+10:00,0.00000725,1.0087,0.87,1.0211,2.11,0.00,0.00
