priority,quality_score,mint,chain,alert_count,has_duplicates,duplicate_count,has_gaps,gap_count,has_distortions,distortion_count,callers
medium,70.0,5iooMHkYiJRM9bsBVtKUT5J7JwuzJq6758iUhb9Epump,solana,3,False,0,False,0,True,2538,
medium,70.0,HCbAsNkBtDikvvaHUczyqwnohSRswqYtjXBK6MfxRwT9,solana,3,False,0,False,0,True,4999,
medium,70.0,5nfSFw264ZUJs4LmSyWVr8ToMoyzjKwZ9vC7ufzcSMDY,solana,3,False,0,False,0,True,4998,
medium,70.0,3Pau51sRrKJTcbMgajArHKv1tZeic8yNCUno5DuYpump,solana,3,False,0,False,0,True,5090,
medium,70.0,AyUNcnrN1iiJ2hhT2DkPRmXzyxzqBuVoxfUo8PPupump,solana,3,False,0,False,0,True,3605,
medium,70.0,GVnxxxUt91vXaK7hXTDCgohQoFmxDrjodM5gGzTBpump,solana,3,False,0,False,0,True,3932,
medium,70.0,iBhZPr4bV59kzeUkXptMtmNXHENqwLkv74N2k7Qpump,solana,3,False,0,False,0,True,4369,
medium,70.0,8AkguJ6zeg9Gp2PcLdi4s3NqUANLhp9JXKySMmfypump,solana,3,False,0,False,0,True,2739,
medium,70.0,FDNckmLUbYbvfwHdtq89d8XpnJj8n9nVUxSSaPaqpump,solana,3,False,0,False,0,True,2937,
medium,70.0,EbVQUPXkdjHxWDm95Qvx5CqwYpRMsshiNPR8QpN3pump,solana,3,False,0,False,0,True,4082,
medium,70.0,Ep53NDxoipoyFyh4dRc3fi1XqJPkE8Rw7Sbji6trpump,solana,3,False,0,False,0,True,1790,
medium,70.0,5Fxk572o7JgkNhv4VbHt7DKfvKiBpapGr3fxjGd6pump,solana,3,False,0,False,0,True,3751,
medium,70.0,5iVTh6f2Tyfbur5kBiKuhT9ZmN7FFXMrwgAv7KEPpump,solana,3,False,0,False,0,True,4099,
medium,70.0,2o4nCsaxkFRb5tDeGxgw2yNZf26tFM7QaBdkQR9Vpump,solana,3,False,0,False,0,True,2610,
medium,70.0,6bq8kCaBGPiqjpwV2dACjT4S7aaynA5ZoQ61U3t4pump,solana,3,False,0,False,0,True,3305,
medium,70.0,CXDMC5BxZfy3mXvGs5Tnu87GjP8YCauCJewiY8P9pump,solana,3,False,0,False,0,True,4298,
medium,70.0,Cft3gDDE72M833wN1C6rZgJLjse1X2EXMUgXVVfcbonk,solana,3,False,0,False,0,True,8708,
medium,70.0,9A55EA19nubqkyiSvPA1Mhtg5zRKV8vxoxhopSvYeyV,solana,3,False,0,False,0,True,4997,
medium,70.0,b2mJg36i1jjg1xQBYSQgBqop7BMEV5g8skDgxU1pump,solana,3,False,0,False,0,True,4283,
medium,70.0,DT8E8Bx5mrULJEcXSFYCEHB8XjwaMbJFvG35zjGmpump,solana,3,False,0,False,0,True,4734,
medium,70.0,GyEJPVTVVdBURwMWZNKF3ifjJ4Pj4Q4nFV3DTcnHg59d,solana,3,False,0,False,0,True,3274,
medium,70.0,Av4dQxUK7nBfU4rSp9qfj3s8KEzT2crB9j15KXq7pump,solana,3,False,0,False,0,True,4481,
medium,70.0,7wnztGNuNwGCv8KajmuoDGKNqiwJ98JBn9T7muDpump,solana,3,False,0,False,0,True,4989,
medium,70.0,GjGmkC899vNwUKjdMpiH4qV1ejhDGsBaojpwDGJzpump,solana,3,False,0,False,0,True,3210,
medium,70.0,8qhnhE5rnvSWV6Rec5zsB53pN7JvWijrL2Pox63vpump,solana,3,False,0,False,0,True,4865,
medium,70.0,EUsRKBTUJ7mUBAB11PmfQWmbTKYC5UwAjp5ccFKPpump,solana,3,False,0,False,0,True,4625,
medium,70.0,EoRe4xECTe9imaYtwfdmrGoinD2S1N5yMeu1LrjQpump,solana,3,False,0,False,0,True,4182,
medium,70.0,2Yq1tzcsSv3PL6Xrm9QPBBkG9PtoLYZdUGShXw2epump,solana,3,False,0,False,0,True,4784,
medium,70.0,Bbg749K3tpN9oGL326SrTaDjJYJobffehvYx73FTpump,solana,3,False,0,False,0,True,4914,
medium,70.0,wVPP8r2wuE8kR9rA4sHkW6g3RHSoQkJecHAGLQb2iZX,solana,3,False,0,False,0,True,4223,
medium,70.0,5RncjvjvLkVVHDCaKrPvvSDQofxJmZyhcJaRsmNopump,solana,2,False,0,False,0,True,2616,
medium,70.0,C8qZfziFAyL6GmzrL7oDWdsSps9wBm3J3S1bcEuDpump,solana,2,False,0,False,0,True,3320,
medium,70.0,EAdKtpcR2f6w4zRaemGg7ZTHHUCP8UcK1Qq2Q1bupump,solana,2,False,0,False,0,True,2581,
medium,70.0,EcQmBHdPEfj4j8ar4Yhz19f2NP8KeFYy6HdZR3MbEzko,solana,2,False,0,False,0,True,4478,
medium,70.0,Dr7r38EvuFzezm9FhHgVw6eaPjGNRaj9JMAknAprpump,solana,2,False,0,False,0,True,4192,
medium,70.0,6zBkvjLkLZQxRBqACM4nHPjjdrjYjL994eruJtTWGJWM,solana,2,False,0,False,0,True,4406,
medium,70.0,GuhgaLx17yG56Xv6bb6C7Mun9a88RLc7zEEqp5oFpump,solana,2,False,0,False,0,True,5045,
medium,70.0,7ESp4uzjt7218bFhexK8BfkA3hPQ19A1BoNMsCpypump,solana,2,False,0,False,0,True,5488,
medium,70.0,BxBmLazgUME6ah27Yjy44JgqUMZSzinUWrEiab2tpump,solana,2,False,0,False,0,True,8125,
medium,70.0,BWFTKMWLQjZbmG8XSNSsmjXucaob8LP1DZp5cvBGpump,solana,2,False,0,False,0,True,9732,
medium,70.0,EEu9SjbneY5qsBkZpdNPr9BLsRa4WNYFX4CnvmoDpump,solana,2,False,0,False,0,True,8137,
medium,70.0,623bhm9JctXcpT3sVzvPxpxgqzTULzjGFXZH74d3pump,solana,2,False,0,False,0,True,8714,
medium,70.0,5oxz2UVVsk25Ea7p5xiz7f6SACcKsEujjo64Cv2mpump,solana,2,False,0,False,0,True,8257,
medium,70.0,36Q5RuwiXbLxvRHvCjkKQxEpWmmoVUEM8dYQT2Wcbonk,solana,2,False,0,False,0,True,7724,
medium,70.0,2JVZ7LF7dPj8EfmKcGe6CPjXZRLRZqe3wE66jR4Bpump,solana,2,False,0,False,0,True,7138,
medium,70.0,DuGG2iGCqk6gWcTSuqVS2K7pnRyjaVcGebwcWPHnpump,solana,2,False,0,False,0,True,9102,
medium,70.0,8CCaTB1HQ4NLE9E1k2s7Y7VCzcjoubj2AaWrVZL8pump,solana,2,False,0,False,0,True,9990,
medium,70.0,PKvPfH9339BvUYXSzHAinLetVJcTjT38Sjga5wipump,solana,2,False,0,False,0,True,9998,
medium,70.0,9YPEKLt2nn8jstTG7SiCENToG5Nm875z6DsPhYZopump,solana,2,False,0,False,0,True,9995,
medium,70.0,6qP288uHwhcAEAphWVhhyETzaxjTCWcabSGH33sSpump,solana,2,False,0,False,0,True,9899,
medium,70.0,AkbvXVZPzrHSpcxNADQ7Uxk6nvjHtpHn4nqNQZY8TJBn,solana,2,False,0,False,0,True,7137,
medium,70.0,55WZGGCwE66xnCxBcAxKSNT49wzeaHhT9jE2xWSXpump,solana,2,False,0,False,0,True,4976,
medium,70.0,Dcz1AxD7dF665jMBWacqWsu4g1xjSBWstbS5DGLopump,solana,2,False,0,False,0,True,9177,
medium,70.0,GPqgnQ5xD8oPGT2aN3bZ467EHmDbEt7aRhJuUQGLpump,solana,2,False,0,False,0,True,5115,
medium,70.0,4SkFDZZ1SxSw3M79ohRPfmdxYKKCd21hxQnhYeWNpump,solana,2,False,0,False,0,True,8134,
medium,70.0,GV1uiHtqnFqHYijcBzt2A56Fe9LjoCnszjVbekzvpump,solana,2,False,0,False,0,True,8738,
