Strategy,TotalTrades,WinRate,AvgPnlPerTrade,FinalPortfolio,CompoundFactor,MaxDrawdown,MaxDrawdownPct,StdDevReturns,RiskAdjustedScore,AvgPerTradeMaxDrawdown,AvgRiskRatio,SharpeRatio,LossClampEnabled,MinPnlFloor
PT2_SL15_TS20@2_NoExitCross_KijunSL_NoClamp,403,44.17,3.40,336.52,3.3652,31.20,9.27,25.81,0.0916,4.18,21.03,2.0923,No,0.8
PT2_SL15_TS20@2_NoExitCross_KijunSL_Clamp80,403,44.17,3.40,336.52,3.3652,31.20,9.27,25.81,0.0916,4.18,21.03,2.0923,Yes,0.8
PT2_SL15_TS20@2_NoExitCross_KijunSL_Clamp85,403,44.17,3.40,336.52,3.3652,31.20,9.27,25.81,0.0916,4.18,21.03,2.0923,Yes,0.85
PT1.5-2_SL20_TS20@2_NoExitCross_KijunSL_Clamp85,403,44.67,3.33,333.58,3.3358,28.49,8.54,23.47,0.0995,4.08,21.19,2.2552,Yes,0.85
PT1.5_SL15_TS20@2_NoExitCross_KijunSL_NoClamp,403,44.42,3.33,332.34,3.3234,28.01,8.43,24.31,0.0956,4.17,21.05,2.1754,No,0.8
PT1.5_SL15_TS20@2_NoExitCross_KijunSL_Clamp80,403,44.42,3.33,332.34,3.3234,28.01,8.43,24.31,0.0956,4.17,21.05,2.1754,Yes,0.8
PT1.5_SL15_TS20@2_NoExitCross_KijunSL_Clamp85,403,44.42,3.33,332.34,3.3234,28.01,8.43,24.31,0.0956,4.17,21.05,2.1754,Yes,0.85
PT2-3_SL15_TS20@2_NoExitCross_KijunSL_NoClamp,403,44.17,3.31,326.52,3.2652,30.27,9.27,24.87,0.0911,4.18,21.03,2.1126,No,0.8
PT2-3_SL15_TS20@2_NoExitCross_KijunSL_Clamp80,403,44.17,3.31,326.52,3.2652,30.27,9.27,24.87,0.0911,4.18,21.03,2.1126,Yes,0.8
PT2-3_SL15_TS20@2_NoExitCross_KijunSL_Clamp85,403,44.17,3.31,326.52,3.2652,30.27,9.27,24.87,0.0911,4.18,21.03,2.1126,Yes,0.85
PT1.5_SL25_TS20@2_NoExitCross_KijunSL_Clamp80,403,44.91,3.24,319.54,3.1954,28.23,8.83,24.58,0.0893,4.38,21.27,2.0913,Yes,0.8
PT2_SL25_TS20@2_NoExitCross_KijunSL_Clamp80,403,44.67,3.26,317.39,3.1739,30.79,9.63,26.04,0.0835,4.39,21.24,1.9878,Yes,0.8
PT1.5-2_SL15_TS20@2_NoExitCross_KijunSL_Clamp85,403,44.42,3.20,316.57,3.1657,27.12,8.56,23.51,0.0921,4.17,21.05,2.1616,Yes,0.85
PT1.5-2_SL15_TS20@2_NoExitCross_KijunSL_NoClamp,403,44.42,3.20,316.57,3.1657,27.12,8.56,23.51,0.0921,4.17,21.05,2.1616,No,0.8
PT1.5-2_SL15_TS20@2_NoExitCross_KijunSL_Clamp80,403,44.42,3.20,316.57,3.1657,27.12,8.56,23.51,0.0921,4.17,21.05,2.1616,Yes,0.8
PT2-3_SL25_NoExitCross_KijunSL_Clamp85,403,44.67,3.17,313.57,3.1357,29.01,9.25,23.12,0.0924,4.05,21.26,2.1741,Yes,0.85
PT2-3_SL25_TS20@2_NoExitCross_KijunSL_Clamp80,403,44.67,3.17,307.93,3.0793,29.87,9.63,25.10,0.0828,4.39,21.24,2.0035,Yes,0.8
PT2_SL20_TS20@2_NoExitCross_KijunSL_Clamp80,403,44.42,3.18,307.68,3.0768,29.85,9.63,26.06,0.0797,4.44,21.15,1.9397,Yes,0.8
PT2_SL20_TS20@2_NoExitCross_KijunSL_NoClamp,403,44.42,3.18,307.68,3.0768,29.85,9.63,26.06,0.0797,4.44,21.15,1.9397,No,0.8
PT2_SL25_TS15@1.5_ExitCross_KijunSL_Clamp85,403,41.44,3.15,307.25,3.0725,35.25,11.17,26.59,0.0780,4.40,20.41,1.8785,Yes,0.85
PT2_SL25_TS10@1.3_ExitCross_FixedSL_Clamp80,403,33.50,3.31,307.01,3.0701,66.86,17.88,31.44,0.0658,8.53,4.05,1.6723,Yes,0.8
PT2-3_SL20_NoExitCross_KijunSL_Clamp85,403,44.42,3.10,305.61,3.0561,28.27,9.25,23.14,0.0889,4.09,21.17,2.1290,Yes,0.85
PT1.5-2_SL25_NoExitCross_KijunSL_Clamp85,403,44.91,3.07,304.93,3.0493,26.06,8.54,21.75,0.0942,4.04,21.29,2.2413,Yes,0.85
PT1.5_SL20_TS20@2_NoExitCross_KijunSL_NoClamp,403,44.67,3.11,303.81,3.0381,26.84,8.83,24.57,0.0830,4.43,21.17,2.0115,No,0.8
