table_schema,table_name,ordinal_position,column_name,data_type,is_nullable
canon,alerts_health_origin,6,raw_from_name,VARCHAR,YES
canon,alerts_health_origin,7,origin_kind,VARCHAR,YES
canon,alerts_promoted_from_raw,1,alert_chat_id,BIGINT,YES
canon,alerts_promoted_from_raw,2,alert_message_id,BIGINT,YES
canon,alerts_promoted_from_raw,3,alert_ts_ms,BIGINT,YES
canon,alerts_promoted_from_raw,4,caller_name,VARCHAR,YES
canon,alerts_promoted_from_raw,5,alert_text,VARCHAR,YES
canon,alerts_promoted_from_raw,6,run_id,VARCHAR,YES
canon,alerts_promoted_from_raw,7,ingested_at,TIMESTAMP,YES
canon,alerts_ready,1,alert_id,VARCHAR,YES
canon,alerts_ready,2,alert_chat_id,BIGINT,YES
canon,alerts_ready,3,alert_message_id,BIGINT,YES
canon,alerts_ready,4,alert_ts_ms,BIGINT,YES
canon,alerts_ready,5,alert_kind,VARCHAR,YES
canon,alerts_ready,6,mint,VARCHAR,YES
canon,alerts_ready,7,chain,VARCHAR,YES
canon,alerts_ready,8,mint_source,VARCHAR,YES
canon,alerts_ready,9,caller_raw_name,VARCHAR,YES
canon,alerts_ready,10,alert_text,VARCHAR,YES
canon,alerts_ready,11,run_id,VARCHAR,YES
canon,alerts_ready,12,ingested_at,TIMESTAMP,YES
canon,alerts_ready,13,caller_id,VARCHAR,YES
canon,alerts_ready,14,caller_name_norm,VARCHAR,YES
canon,alerts_ready,15,caller_base,VARCHAR,YES
canon,alerts_resolved,1,alert_chat_id,BIGINT,YES
canon,alerts_resolved,2,alert_message_id,BIGINT,YES
canon,alerts_resolved,3,alert_id,VARCHAR,YES
canon,alerts_resolved,4,alert_ts_ms,BIGINT,YES
canon,alerts_resolved,5,bot_message_id,BIGINT,YES
canon,alerts_resolved,6,bot_ts_ms,BIGINT,YES
canon,alerts_resolved,7,bot_name,VARCHAR,YES
canon,alerts_resolved,8,run_id,VARCHAR,YES
canon,alerts_resolved,9,ingested_at,TIMESTAMP,YES
canon,alerts_std,1,alert_id,VARCHAR,YES
canon,alerts_std,2,alert_chat_id,BIGINT,YES
canon,alerts_std,3,alert_message_id,BIGINT,YES
canon,alerts_std,4,alert_ts_ms,BIGINT,YES
canon,alerts_std,5,alert_kind,VARCHAR,YES
canon,alerts_std,6,mint,VARCHAR,YES
canon,alerts_std,7,chain,VARCHAR,YES
canon,alerts_std,8,mint_source,VARCHAR,YES
canon,alerts_std,9,caller_raw_name,VARCHAR,YES
canon,alerts_std,10,alert_text,VARCHAR,YES
canon,alerts_std,11,run_id,VARCHAR,YES
canon,alerts_std,12,ingested_at,TIMESTAMP,YES
canon,alerts_std,13,caller_id,VARCHAR,YES
canon,alerts_std,14,caller_name_norm,VARCHAR,YES
canon,alerts_std,15,caller_base,VARCHAR,YES
canon,alerts_universe,1,alert_chat_id,BIGINT,YES
canon,alerts_universe,2,alert_message_id,BIGINT,YES
canon,alerts_universe,3,alert_ts_ms,BIGINT,YES
canon,alerts_universe,4,run_id,VARCHAR,YES
canon,alerts_universe,5,ingested_at,TIMESTAMP,YES
